"","x"
"KLK8",2
"KLRB1",2
"KNDC1",2
"KRT35",2
"KRT80",2
"KRT83",2
"KRTAP10-5",2
"KRTAP13-3",2
"KRTAP4-9",2
"KRTAP5-3",2
"KRTAP6-1",2
"KRTAP9-6",2
"KRTAP9-8",2
"LACRT",2
"LAMA4",2
"LAMC3",2
"LAMTOR1",2
"LAPTM4A",2
"LARS",2
"LATS2",2
"LCAT",2
"LCE1C",2
"LCE3B",2
"LCE3C",2
"LCP2",2
"LDHA",2
"LEO1",2
"LGALS9B",2
"LGI2",2
"LGI3",2
"LGR6",2
"LHFPL4",2
"LHX9",2
"LIFR",2
"LIM2",2
"LIN7C",2
"LIPC",2
"LIPK",2
"LITAF",2
"LIX1L",2
"LLPH",2
"LMBR1",2
"LMLN",2
"LMX1B",2
"LOC100131303",2
"LOC101927322",2
"LOC101928841",2
"LOC102724957",2
"LOC286238",2
"LOC643802",2
"LOH12CR1",2
"LOXL2",2
"LPAR1",2
"LPGAT1",2
"LPIN3",2
"LRP10",2
"LRRC38",2
"LRRC55",2
"LRRC66",2
"LRRC71",2
"LRRTM1",2
"LTBP3",2
"LTBP4",2
"LTK",2
"LY6E",2
"LYG2",2
"LYPD2",2
"LYPD5",2
"LYPD6B",2
"LYVE1",2
"LYZ",2
"LYZL1",2
"MAB21L1",2
"MAD2L2",2
"MAGEA9B",2
"MAGEC2",2
"MAGEH1",2
"MAGI1",2
"MALT1",2
"MAML1",2
"MAML2",2
"MANBA",2
"MANBAL",2
"MANEAL",2
"MANF",2
"MAP1LC3A",2
"MAP3K5",2
"MAPK11",2
"MAPK6",2
"MARCH1",2
"MARCH10",2
"MARCH3",2
"MARCO",2
"MARVELD1",2
"MAST1",2
"MATR3",2
"MBD3L4",2
"MBD3L5",2
"MBL2",2
"MBLAC2",2
"MBNL2",2
"MBP",2
"MBTD1",2
"MC1R",2
"MCEE",2
"MCL1",2
"MCTP2",2
"MED17",2
"MED24",2
"MED6",2
"MEPCE",2
"MERTK",2
"MESP2",2
"METAP1D",2
"METTL15",2
"METTL18",2
"METTL21A",2
"METTL22",2
"METTL23",2
"MFSD7",2
"MGAT4C",2
"MGST1",2
"MICALL1",2
"MIEN1",2
"MIF",2
"MINK1",2
"MIPEP",2
"MMP13",2
"MMP19",2
"MMP21",2
"MMP28",2
"MOCS2",2
"MOGAT1",2
"MOXD1",2
"MPG",2
"MPRIP",2
"MPST",2
"MPZL2",2
"MRGPRG",2
"MROH2B",2
"MROH8",2
"MROH9",2
"MRPL17",2
"MRPL53",2
"MRPS12",2
"MRPS14",2
"MRPS16",2
"MRPS24",2
"MRPS5",2
"MRTO4",2
"MS4A1",2
"MS4A8",2
"MSANTD3",2
"MSANTD4",2
